mmsi,name,imo,callsign,ship_type,length_m,width_m,mobile_class
220359000,SARAH KAJGAARD,,OWRW,Fishing,14.0,4.0,Class A
220368000,O 159 RANDI,,OZNS,Fishing,21.0,6.0,Class A
220431000,DANISH WARSHIP P520,,OVFA,Military,43.0,9.0,Class A
220520000,WIND,9107851,OXSW2,Other,55.0,18.0,Class A
220614000,COPENHAGEN,9327487,OUOH2,Tanker,90.0,15.0,Class A
227802680,ENERGY OBSERVER,,FAE6963,Pleasure,31.0,13.0,Class B
229594000,YM AMAZON,9622758,9HA3431,Cargo,131.0,19.0,Class A
229732000,YANNIS,9401910,9HA3559,Cargo,190.0,32.0,Class A
229767000,ARCTIC AURORA,9645970,9HA3589,Tanker,288.0,44.0,Class A
229902000,SEAHARMONY,9688635,9HA3703,Cargo,199.0,32.0,Class A
230644000,LEONARDO,8521464,OJQI,Tug,29.0,9.0,Class A
230687000,JAARLI,9892432,OJTE,Tanker,250.0,44.0,Class A
231613000,BAL BULK,8912493,OZ2073,Cargo,73.0,12.0,Class A
231843000,EKEN,9263564,OZ2129,Cargo,89.0,14.0,Class A
231846000,SVITZER GAIA,9602447,OZ2134,Tug,32.0,12.0,Class A
231848000,SVITZER GEO,9602459,OZ2142,Tug,32.0,12.0,Class A
232061075,HOLOKAI,,MSBI5,Sailing,14.0,5.0,Class B
235103057,INGRID KNUTSEN,9649225,2HER5,Tanker,257.0,43.0,Class A
235507000,EDDYSTONE,9234070,ZIQT3,Cargo,193.0,26.0,Class A
236108000,MERIT,9197789,ZDEB4,Cargo,83.0,13.0,Class A
240547000,PROMITHEAS,9305611,SYIJ,Tanker,249.0,44.0,Class A
241456000,THOMAS ZAFIRAS,9724087,SVCL8,Tanker,250.0,44.0,Class A
241747000,ISABELLA,9874820,SVDK9,Tanker,295.0,46.0,Class A
241869000,RAN DF,9953470,SVDU7,Tanker,250.0,44.0,Class A
241962000,SEA WHALE,1025588,SVEA9,Tanker,249.0,44.0,Class A
244013009,THUN EOS,9817157,PDLL,Tanker,115.0,16.0,Class A
244056000,THUN LONDON,9828986,PBWI,Tanker,150.0,23.0,Class A
244100987,ALUNA,,PC5177,Pleasure,12.0,4.0,Class B
244140388,IRELAND,9771456,PDIH,Cargo,110.0,14.0,Class A
244329000,THUN BRITAIN,9897482,PCHB,Tanker,80.0,16.0,Class A
245230000,AMALIA,9973327,PGRJ,Cargo,150.0,15.0,Class A
245299000,ATLANTICBORG,9466350,PCEC,Cargo,142.0,21.0,Class A
245943000,GEULBORG,9518232,PEHA,Cargo,100.0,14.0,Class A
246133000,CORAL NORDIC,9919890,PDZV,Tanker,177.0,30.0,Class A
246134000,KLAVERBANK,9518244,PCJI,Cargo,100.0,13.0,Class A
246265000,ORANJEBORG,9232797,PIAG,Cargo,159.0,26.0,Class A
246399000,PEAK BERGEN,9544932,PBPY,Cargo,90.0,14.0,Class A
246572000,AMAZONEBORG,9333541,PHIN,Cargo,143.0,22.0,Class A
246807000,FRISIAN INO,9463877,PCPQ,Cargo,87.0,11.0,Class A
246809000,SOUTHERN ROCK,9965241,PFSP,Cargo,114.0,16.0,Class A
246843000,MARFAAM,9526100,PCNH,Cargo,118.0,16.0,Class A
246887000,THAMESBORG,9546459,PCRE,Cargo,173.0,22.0,Class A
248022000,STAVANGER TS,9737395,9HA4479,Tanker,250.0,44.0,Class A
248630000,ST.SOFIA,9799630,9HA4734,Cargo,199.0,32.0,Class A
249702000,ATLANTIS ANTIBES,9508108,9HYJ9,Tanker,105.0,16.0,Class A
250002173,ARKLOW FERN,9527661,EIJW5,Cargo,90.0,14.0,Class A
250004214,ARKLOW CAPE,9757096,EISA9,Cargo,87.0,15.0,Class A
250005551,ARNICA,,EI VG 8,Sailing,11.0,4.0,Class B
250005849,ARKLOW ACCORD,9851945,EIWJ8,Cargo,120.0,15.0,Class A
255806185,UHL FUSION,9785380,CQAI7,Cargo,150.0,26.0,Class A
255806328,GROSSE FREIHEIT,9507142,CQEA5,Cargo,107.0,16.0,Class A
255915000,WILSON FLEX I,9911434,CQEZ6,Cargo,88.0,14.0,Class A
255915570,WINDEA LA COUR,9769025,CQ2028,Cargo,176.0,36.0,Class A
255916027,AASLAND,1042706,CQ2456,Cargo,120.0,16.0,Class A
255916032,HARUKA,9589619,CQ2461,Cargo,169.0,27.0,Class A
255916179,FAIRPLAY-39,9557927,CQ2608,Tug,35.0,15.0,Class A
256189000,MARGATE,9979486,9HA5733,Cargo,179.0,30.0,Class A
256423000,CAMBERWELL,9991604,9HA5832,Cargo,179.0,30.0,Class A
256717000,NORE,9407225,9HBG9,Tanker,90.0,15.0,Class A
257020810,GECKO,,LA5557,Pleasure,15.0,4.0,Class B
257036300,KJERVAAGSUND,9312690,LAFK8,Cargo,106.0,14.0,Class A
257042760,KOMPIS,,LA8607,Pleasure,17.0,4.0,Class B
257048860,LADY ANNE,,LAGZ,Pleasure,20.0,6.0,Class B
257050000,BRAGE VIKING,9475791,3YJR,Other,85.0,22.0,Class A
257055830,,,LG2551,Pleasure,10.0,4.0,Class B
257056010,FALKFJORD,9141364,LANB5,Cargo,90.0,14.0,Class A
257064430,HAGLAND CARRIER,9479931,LAHA8,Cargo,90.0,14.0,Class A
257065680,AVVENTURA,,LD2905,Sailing,12.0,4.0,Class B
257071620,MOSTRAUM,9829784,LAFD6,Tanker,126.0,20.0,Class A
257086660,FJORDSTRAUM,9114763,LAWH7,Tanker,100.0,17.0,Class A
257089140,EAGLE BLANE,9833101,LAIX8,Tanker,277.0,46.0,Class A
257089150,EAGLE BALDER,9833113,LAIY8,Tanker,277.0,46.0,Class A
257093020,SEA SWALLOW,,LD5107,Pleasure,12.0,4.0,Class B
257141000,IMPERATOR,9014690,LACL8,Cargo,88.0,13.0,Class A
257177570,REM ADIRA,9610183,LAEA9,Other,93.0,22.0,Class A
257203000,RIGER,9373553,LATB8,Other,90.0,15.0,Class A
257350220,FEED TRONDHEIM,9226798,LADP9,Cargo,100.0,16.0,Class A
257492760,SOLSOKER,,LE2513,Sailing,,1.0,Class B
257577000,SKANDI SALTFJORD,9470478,LGFT,Tug,95.0,24.0,Class A
257586880,SILENT SEA,,LK7874,Sailing,14.0,4.0,Class B
257601000,FJELLSTRAUM,9140815,LAWF7,Tanker,100.0,17.0,Class A
257632000,AURORA COOPER,9727259,LGGZ,Other,89.0,19.0,Class A
257638000,REM COMMANDER,9482354,LFGI,Other,94.0,20.0,Class A
257643000,KILSTRAUM,9164732,LAWG7,Tanker,104.0,16.0,Class A
257651280,MARQUITA,,LJ8360,Sailing,11.0,4.0,Class B
257680830,ZENTORA,,LDTT,Pleasure,18.0,6.0,Class B
257782690,KJIKET,,LG2672,Sailing,15.0,5.0,Class B
257792090,MAGICUS,,LE6572,Sailing,12.0,4.0,Class B
257884050,STOMPELOMPA,,LN5364,Pleasure,11.0,3.0,Class B
257895000,HILDA KNUTSEN,9628300,LAPS7,Tanker,276.0,46.0,Class A
257896000,TORILL KNUTSEN,9630030,LAPR7,,275.0,46.0,Class A
257953790,CREMULEN,,LE8177,Sailing,,,Class B
257964690,SANDY,,LK9939,Pleasure,16.0,6.0,Class B
257973230,HAVHEIM,,LK2758,Pleasure,10.0,3.0,Class B
257980000,EAGLE BARENTS,9676125,LARC8,Tanker,276.0,46.0,Class A
257982730,"""VILLE"" MARTHA",,LK3406,Sailing,11.0,4.0,Class B
258022000,ENERGY SPHYNX,9777319,LASD8,Cargo,97.0,22.0,Class A
258059000,HAGLAND PIONEER,9936331,LAQE8,Cargo,87.0,15.0,Class A
258101770,SPIDER-X,,LI4209,Sailing,14.0,4.0,Class B
258116000,OLA RYGGEFJORD,9350616,JXUE,Fishing,76.0,14.0,Class A
258202000,NORTHERN PHOENIX,1034668,LAXH8,Tanker,130.0,22.0,Class A
258209000,LINK NEPTUNE,9170999,LADG9,Cargo,156.0,22.0,Class A
258349500,SILJO,,LK7926,Reserved,15.0,9.0,Class B
258377000,NORMAND SUBSEA,9411551,LAWI7,Other,113.0,24.0,Class A
258514110,TIME OUT II,,LG4374,Sailing,13.0,2.0,Class B
258595000,MIDNATSOL,9247728,LEFO,Passenger,136.0,22.0,Class A
258645000,CLIPPER HERMES,9378151,LAIC6,Tanker,155.0,22.0,Class A
258761000,NORVIND,9247118,LAYC7,Cargo,110.0,15.0,Class A
258994240,VENTO NOSTRO,,LH3933,Sailing,10.0,3.0,Class B
258996460,CYGNUS,,LI9716,Sailing,13.0,3.0,Class B
258996750,FELICIA,,LG8561,Sailing,15.0,5.0,Class B
258998270,VADRA,,LI9861,Pleasure,13.0,4.0,Class B
259143000,NORJARL,9436264,LAZN7,Cargo,119.0,16.0,Class A
265002000,TRESFJORD,9254977,SBXF,Tanker,78.0,11.0,Class A
265012140,VINGAREN,9864277,SBIA,Tanker,100.0,19.0,Class A
265038660,APRILIA,,SG4120,Pleasure,11.0,4.0,Class B
265056000,BRISEN,9970595,SBEC,Tanker,67.0,12.0,Class A
265058290,GASTON,,SFC3538,Pleasure,9.0,3.0,Class B
265061160,STELLA,,SG6709,Pleasure,10.0,3.0,Class B
265066690,SOMMARRO,,SG7436,Sailing,,,Class B
265070140,,,SG7798,Pleasure,,,Class B
265075520,FREE BIRD,,SG8457,Pleasure,,,Class B
265082770,LIV,,SG9303,Sailing,9.0,3.0,Class B
265177000,STENA DANICA,7907245,SKFH,Passenger,155.0,28.0,Class A
265410000,STENA JUTLANDICA,9125944,SEAN,Passenger,183.0,33.0,Class A
265559330,BEDA 2,,SE9043,Sailing,11.0,4.0,Class B
265574090,S/Y DAFFODIL,,SC7566,Sailing,14.0,4.0,Class B
265591680,SULA,,SG2231,Sailing,,,Class B
265613750,LIPPO,,SMUK,Sailing,15.0,5.0,Class B
265628090,OH-BOY,,SD5423,Pleasure,12.0,4.0,Class B
265637980,ZILIA,,SD6334,Sailing,10.0,4.0,Class B
265661420,JAMBO,,SD8417,Pleasure,13.0,4.0,Class B
265667980,SAGA HR 36,,SB8396,Pleasure,11.0,3.0,Class B
265735460,BMJ PRINCESS 42,,SE7597,Pleasure,14.0,4.0,Class B
265751040,RAINBOW X362,,8SY5843,Pleasure,10.0,3.0,Class B
265752720,KIA-ORA,,SD7249,Sailing,11.0,3.0,Class B
265763940,POMMES,,SE9905,Pleasure,11.0,4.0,Class B
265774260,PARLAN 42 NOVA,,SB2856,Pleasure,12.0,4.0,Class B
265782090,GONDUL,,8SY9803,Pleasure,11.0,4.0,Class B
265830670,PAMANI,,SF7772,Sailing,11.0,3.0,Class B
