mmsi,name,imo,callsign,ship_type,length_m,width_m,mobile_class
636022888,ATLAS STAR,9376828,5LKX6,Tanker,183.0,27.0,Class A
636023285,MINERVA RITA,930586700,5LMY4,Tanker,183.0,32.0,Class A
636023942,ALPES,9817470,5LQE6,Tanker,250.0,44.0,Class A
636024763,STAR CLEO,9594638,5LUD9,Cargo,190.0,32.0,Class A
636024998,CORE AXIS,9379210,5LVH9,Tanker,274.0,48.0,Class A
636025110,NEO FALIRO,1045643,5LVV8,Cargo,229.0,33.0,Class A
636025892,SPETSA,9337004,5LZQ5,Tanker,274.0,48.0,Class A
636026291,19 MAYIS,9910363,D5YG2,Cargo,180.0,32.0,Class A
636026647,LOURDAS BAY,9696711,A8IN2,Tanker,256.0,43.0,Class A
740405000,SIR D. ATTENBOROUGH,9798222,ZDLQ3,Other,129.0,24.0,Class A
982550097,DC TO WINDEA LA COUR,,CQ2028,Port tender,11.0,4.0,Class B
